ExperimentDate,ExperimentTime,ExperimentTimeFraction,timeStamp,experimentId,activityTypeId,subjectId,deviceId,x,y,z,aX,aY,aZ,qW,qX,qY,qZ,lat,lon,speed,tag,alt,incl,counter
4/20/2017 12:00:00 AM,23:16:27,710782600,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.777740478516,-5.70624303817749,-165.777740478516,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645922
4/20/2017 12:00:00 AM,23:16:27,712784500,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.688415527344,-3.69656682014465,-165.688415527344,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645923
4/20/2017 12:00:00 AM,23:16:27,712784500,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.743347167969,-5.43917798995972,-165.743347167969,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645924
4/20/2017 12:00:00 AM,23:16:27,714285200,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.67497253418,-3.70559430122375,-165.67497253418,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645925
4/20/2017 12:00:00 AM,23:16:27,748135800,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.694046020508,-5.38666296005249,-165.694046020508,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645929
4/20/2017 12:00:00 AM,23:16:27,750151600,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.877334594727,-5.39326333999634,-165.877334594727,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645930
4/20/2017 12:00:00 AM,23:16:27,750639000,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.691772460938,-3.93688702583313,-165.691772460938,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645931
4/20/2017 12:00:00 AM,23:16:27,786218200,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.747817993164,-5.73256349563599,-165.747817993164,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645933
4/20/2017 12:00:00 AM,23:16:27,788720100,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.641204833984,-3.76722574234009,-165.641204833984,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645934
4/20/2017 12:00:00 AM,23:16:27,823273500,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.733245849609,-5.28145790100098,-165.733245849609,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645936
4/20/2017 12:00:00 AM,23:16:27,826250700,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.643981933594,-3.7594256401062,-165.643981933594,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645937
4/20/2017 12:00:00 AM,23:16:27,860758900,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.820693969727,-5.32176685333252,-165.820693969727,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645939
4/20/2017 12:00:00 AM,23:16:27,862753000,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.646041870117,-3.80357336997986,-165.646041870117,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645940
4/20/2017 12:00:00 AM,23:16:27,862753000,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.930740356445,-5.96951293945313,-165.930740356445,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645941
4/20/2017 12:00:00 AM,23:16:27,897887200,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.628890991211,-5.58902502059937,-165.628890991211,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645942
4/20/2017 12:00:00 AM,23:16:27,900387300,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.610778808594,-3.85063529014587,-165.610778808594,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645943
4/20/2017 12:00:00 AM,23:16:27,935472000,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.744903564453,-5.62413167953491,-165.744903564453,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645947
4/20/2017 12:00:00 AM,23:16:27,938452400,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.656311035156,-4.03296947479248,-165.656311035156,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645948
4/20/2017 12:00:00 AM,23:16:27,972965400,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.895004272461,-5.53314208984375,-165.895004272461,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645949
